Freebase_ID	Year_of_Birth	Name	Place_of_Birth
#9202a8c04000641f800000000dec0923	1929-01-20	Prince Antoine of Bourbon-Two Sicilies	Cannes
#9202a8c04000641f8000000000269780	1833-07-30	Archduke Carl Ludwig of Austria	Schönbrunn Palace
#9202a8c04000641f8000000000c0b6b8	1946-12-13	Princess Maria da Gloria, Duchess of Segorbe	
#9202a8c04000641f8000000006f0cedc	1945-10-31	Prince Pedro Carlos of Orléans-Braganza	Petrópolis
#9202a8c04000641f800000000065f8cf	1907-09-23	Duarte Nuno, Duke of Braganza	Seebenstein
#9202a8c04000641f80000000001465ac	1945-05-15	Duarte Pio, Duke of Braganza	Berne
#9202a8c04000641f800000000460b577	1946-12-03	Infante Miguel, Duke of Viseu	Berne
#9202a8c04000641f800000000460b5b9	1949	Infante Henrique, Duke of Coimbra	Berne
#9202a8c04000641f8000000000e5db70	1901-11-30	Infante Alfonso, Duke of Calabria	Madrid
#9202a8c04000641f800000000904e319	1917-11-13	Infanta Alicia, Dowager Duchess of Calabria	Vienna
#9202a8c04000641f8000000020647279		Sofia Landaluce y Melgarejo	
#9202a8c04000641f8000000009d4f8f5	1958-06-29	Archduke Simeon of Austria	Belgian Congo
#9202a8c04000641f8000000008d14c00	1978	Diana Álvares Pereira de Melo, 11th Duchess of Cadaval	Geneva
#9202a8c04000641f80000000047e1569	1953-12-31	Princess Silvia, Duchess of Aosta	Palermo
#9202a8c04000641f8000000000a4ab4d	1904-02-13	Princess Irene of Greece, Duchess of Aosta	Athens
#9202a8c04000641f8000000007d2554f	1971-11-17	Princess Olga, Duchess of Apulia	Athens
#9202a8c04000641f800000000b4fc713	2009-03-07	Prince Umberto of Savoy	Neuilly-sur-Seine
#9202a8c04000641f80000000006a5615	1888-08-10	Prince Christopher of Greece and Denmark	Pavlovsk
#9202a8c04000641f8000000000507955	1939-01-07	Prince Michael of Greece and Denmark	Rome
#9202a8c04000641f8000000000600672	1930-04-07	Margherita, Archduchess of Austria-Este	Naples
#9202a8c04000641f8000000009425388	1933-09-12	Princess Maria Cristina of Savoy-Aosta	Miramare Castle
#9202a8c04000641f800000000b54c421	1250	Anna of Glogau	
#9202a8c04000641f800000000db2ad33	1201	Agnes of the Palatinate	
#9202a8c04000641f80000000008d6f20	1206-04-07	Otto II Wittelsbach, Duke of Bavaria	Kelheim
#9202a8c04000641f80000000008d0980	1274-10-04	Rudolf I, Duke of Bavaria	Basel
#9202a8c04000641f80000000003ede7f	1318	Margarete Maultasch	South Tyrol
#9202a8c04000641f800000001efd3b87		Balthasar, Landgrave of Thuringia	Weißenfels
#9202a8c04000641f800000001cd6be35		William II, Duke of Jülich	
#9202a8c04000641f800000000aa117c2	1318	Wenceslaus I of Legnica	
#9202a8c04000641f800000000ad44c9d		Katharina Šubić of Croatia	
#9202a8c04000641f800000000ad22d84	1263	Elisabeth of Greater Poland	
#9202a8c04000641f800000000a8d4d51	1248	Henry V, Duke of Legnica	
#9202a8c04000641f800000000016afe9	1412-06-05	Ludovico II of Gonzaga	Mantua
#9202a8c04000641f8000000015fd7fa3	1457	Giovanni della Rovere	Savona
#9202a8c04000641f8000000019807914	1457	Giovanni della Rovere	
#9202a8c04000641f80000000047c030d	1338	Niccolò II d'Este	
#9202a8c04000641f8000000005754a0b	1335	Aldobrandino III d'Este	
#9202a8c04000641f80000000057549df	1294-07-14	Obizzo III d'Este	
#9202a8c04000641f80000000007e2e9b	1460-09-29	Louis II de la Trémoille	Thouars
#9202a8c04000641f800000002064fd69		Louisa Drummond	
#9202a8c04000641f800000000038bf85	1846-05-29	Henry Percy, 7th Duke of Northumberland	
#9202a8c04000641f800000000c4915d0	1742-09-27	John Crewe, 1st Baron Crewe	
#9202a8c04000641f8000000000192051	1809-06-19	Richard Monckton Milnes, 1st Baron Houghton	London
#9202a8c04000641f800000000023a767	1858-01-12	Robert Crewe-Milnes, 1st Marquess of Crewe	
#9202a8c04000641f800000000484f1a8	1835-05-11	William Edwardes, 4th Baron Kensington	
#9202a8c04000641f80000000154a2dbe	1704	Colin Campbell of Carwhin	
#9202a8c04000641f800000000480c942	1645	Anthony Grey, 11th Earl of Kent	
#9202a8c04000641f8000000005685d07		Mary Grey, Countess of Kent	
#9202a8c04000641f80000000047dfc34	1695-02-21	Anthony Grey, Earl of Harold	
#9202a8c04000641f80000000001c7443	1738-11-30	Thomas Robinson, 2nd Baron Grantham	Vienna
#9202a8c04000641f80000000002d497a	1781-12-08	Thomas Robinson, 2nd Earl de Grey	
#9202a8c04000641f800000000017ebad	1782-11-01	Frederick John Robinson, 1st Viscount Goderich	London
#9202a8c04000641f8000000000083c32	1503	Thomas Wyatt	
#9202a8c04000641f8000000000238de9	1521-09-10	Thomas Wyatt the younger	
#9202a8c04000641f80000000149e20da	1728	Thomas Chambers Cecil	
#9202a8c04000641f800000000563f390	1725-09-21	Brownlow Cecil, 9th Earl of Exeter	
#9202a8c04000641f80000000149d36ff		Sir Edward Stanley, 3rd Baronet	
#9202a8c04000641f800000000b340e24		Claire Rose Pelly	
#9202a8c04000641f80000000055bc34d		Reginald de Grey, 1st Baron Grey de Wilton	
#9202a8c04000641f8000000015a31b86		Eleanor of Bar	
#9202a8c04000641f8000000013a396c6	1285	Elisabeth of Austria	Vienna
#9202a8c04000641f8000000000300b24	1282-04-15	Frederick IV, Duke of Lorraine	
#9202a8c04000641f8000000000672fb7		Bolesław II the Bald	
#9202a8c04000641f800000000bee298d		Władysław of Bytom	
#9202a8c04000641f800000000b507d3c	1300-02-01	Bolko II of Ziębice	
#9202a8c04000641f800000001eea1f20		Meinhard VI of Gorizia	
#9202a8c04000641f80000000008265e8	1337	Louis of Sicily	Catania
#9202a8c04000641f800000000035ae26	1271	Henry II of Jerusalem	
#9202a8c04000641f800000000000608e	1265	Alfonso III of Aragon	
#9202a8c04000641f80000000137a823e	1275	Infante Pedro of Aragon	
#9202a8c04000641f8000000000147ab5	1232	Manfred of Sicily	Venosa
#9202a8c04000641f80000000163db5d0	1333	Eleanor of Aragon, Queen of Cyprus	
#9202a8c04000641f8000000004630e13		Alberto I della Scala	
#9202a8c04000641f800000001dde1705	1383	Eric I, Duke of Brunswick-Grubenhagen	
#9202a8c04000641f800000001ddc6e5d		Francis, Duke of Pomerania	Barth
#9202a8c04000641f800000001e3a8815		Philip II, Duke of Pomerania	Franzburg
#9202a8c04000641f800000001e63b2b8		George II, Duke of Pomerania	Barth
#9202a8c04000641f800000001fec0a55		Ulrich, Duke of Pomerania	Barth
#9202a8c04000641f80000000056162b4	1675-03-28	Johann Wilhelm, Duke of Saxe-Jena	Jena
#9202a8c04000641f800000001473d2bf	1669-12-20	Charlotte Marie of Saxe-Jena	Jena
#9202a8c04000641f80000000045f58af	1668-11-30	William August, Duke of Saxe-Eisenach	Eisenach
#9202a8c04000641f8000000004646dad	1662-10-19	William Ernest, Duke of Saxe-Weimar	Blankenhain
#9202a8c04000641f80000000046ccb1a	1664-06-22	Johann Ernst III, Duke of Saxe-Weimar	Weimar
#9202a8c04000641f80000000045db91c	1507	Stanislovas Goštautas	
#9202a8c04000641f800000000049864f	1480	Jerzy Radziwiłł	
#9202a8c04000641f8000000000614f6a		Barbara Kola	
#9202a8c04000641f8000000006b47bf9	1495	Barbara Zápolya	
#9202a8c04000641f8000000005b1db8a	1513-03-15	Jadwiga Jagiellon	
#9202a8c04000641f8000000000a35fd9	1462-11-26	Alexander, Count Palatine of Zweibrücken	
#9202a8c04000641f800000001dc00ae2	1628-01-23	Johann Reinhard II, Count of Hanau-Lichtenberg	Bouxwiller
#9202a8c04000641f800000001dc02475		Johanna Magdalene of Hanau-Lichtenberg	Rheinau
#9202a8c04000641f800000001e17301e		Philip Reinhard, Count of Hanau-Münzenberg	Rheinau
#9202a8c04000641f800000001f7565c4		John, Count Palatine of Gelnhausen	Gelnhausen
#9202a8c04000641f800000001e3c3b9a		John Louis, Count of Nassau-Ottweiler	Saarbrücken
#9202a8c04000641f800000001e920516		Frederick Louis, Count of Nassau-Ottweiler	Ottweiler
#9202a8c04000641f8000000005bdd2b1	1674-11-07	Christian III, Count Palatine of Zweibrücken	Strasbourg
#9202a8c04000641f800000001e791c73		Countess Palatine Magdalena Claudia of Zweibrücken-Birkenfeld-Bischweiler	
#9202a8c04000641f80000000137c1d86	1705-03-31	Sophie Caroline of Brandenburg-Kulmbach	Weferlingen
#9202a8c04000641f800000000876abcc	1708-07-17	Frederick Christian, Margrave of Brandenburg-Bayreuth	Weferlingen
#9202a8c04000641f800000001dddcfd2	1478	Elisabeth of Bavaria	
#9202a8c04000641f800000001dcfe04a	1371-04-23	William II, Margrave of Meissen	
#9202a8c04000641f800000000b8f045e	1440-10-15	Henry III, Landgrave of Hesse	
#9202a8c04000641f800000000aaf9fab	1539-02-23	Henry XI of Legnica	
#9202a8c04000641f800000001d1e463a		Henry V, Burgrave of Plauen	
#9202a8c04000641f8000000000989513		Rudolf VI, Margrave of Baden-Baden	
#9202a8c04000641f80000000008c2fd8	1257	Frederick I, Margrave of Meissen	Eisenach
#9202a8c04000641f8000000000968dc2	1287	Frederick IV, Burgrave of Nuremberg	
#9202a8c04000641f8000000000155c3f	1336	Albert of Sweden	Mecklenburg
#9202a8c04000641f8000000005b4e473		Bernard I, Duke of Brunswick-Lüneburg	
#9202a8c04000641f800000001efc47eb		Henry, Duke of Mecklenburg-Stargard	
#9202a8c04000641f800000001d2c90b5		Victor of Poděbrady	Cieszyn
#9202a8c04000641f800000001d2bc236		Boček IV of Poděbrady	
#9202a8c04000641f8000000015d07fd0		Johana of Rožmitál	
#9202a8c04000641f800000001d2b3a44	1403	Victor of Kunštát and Poděbrady	
#9202a8c04000641f800000001dac5008		Henry the Younger of Poděbrady	Prague
#9202a8c04000641f800000000b3e6208	1435-04-16	Jan II the Mad	
#9202a8c04000641f800000001dde0402		Henry III, Duke of Münsterberg-Oels	Oleśnica
#9202a8c04000641f800000001ddde3c3		Charles II, Duke of Münsterberg-Oels	Oleśnica
#9202a8c04000641f800000001e50f2bb		Charles Christopher, Duke of Münsterberg	Oleśnica
#9202a8c04000641f800000000906781e	1390	George I, Prince of Anhalt-Dessau	
#9202a8c04000641f8000000012e6ad64	1280	Eric I, Duke of Saxe-Lauenburg	
#9202a8c04000641f8000000000882cdd	1297	Johan of Plön	
#9202a8c04000641f800000002065b157		Elisabeth of Weinsberg	
#9202a8c04000641f8000000000160a7f	1345	Charles III of Naples	Naples
#9202a8c04000641f800000000557d9b5	1347-07-28	Margherita of Durazzo	
#9202a8c04000641f800000000abdca15		Theodor, Prince of Rylsk	
#9202a8c04000641f8000000000e07a97		Andrzej Jezierski	
#9202a8c04000641f80000000045c3045	1327	Demetrius I Starszy	
#9202a8c04000641f800000000abdca18		Mingaila	
#9202a8c04000641f800000000abdca1e		Euphrosina	
#9202a8c04000641f80000000000217b9	1374-02-18	Jadwiga of Poland	Buda
#9202a8c04000641f80000000000556eb	1424-10-31	Władysław III of Poland	Kraków
#9202a8c04000641f8000000000be8369	1408-04-08	Jadwiga of Lithuania	
#9202a8c04000641f800000001f76eeea		Elizabeth Bonifacia of Poland	Kraków
#9202a8c04000641f8000000000d65903	1132	William I of Geneva	
#9202a8c04000641f800000000007fc8c	1217	Boniface of Savoy, Archbishop of Canterbury	
#9202a8c04000641f8000000000080021	1199	Thomas, Count of Flanders	
#9202a8c04000641f800000000007fbd3	1135	Humbert III of Savoy	Avigliana
#9202a8c04000641f800000001c9d7cf9	1112	Beatrice of Viennois	
#9202a8c04000641f800000000008004e	1203	Peter II, Count of Savoy	Susa
#9202a8c04000641f800000000008d6dc	1209-01-05	Richard, 1st Earl of Cornwall	Winchester Castle
#9202a8c04000641f8000000004803d19	1249-12-26	Edmund, 2nd Earl of Cornwall	Berkhamsted Castle
#9202a8c04000641f80000000005b7d8e	1140	Richeza of Poland	Wrocław
#9202a8c04000641f8000000000082446	1105-03-01	Alfonso VII of León	Caldas de Reis
#9202a8c04000641f8000000000079f05	1178	Peter II of Aragon	Huesca
#9202a8c04000641f80000000055d0d7a	1179	Constance of Aragon	
#9202a8c04000641f80000000001c0d2b	1113	Ramon Berenguer IV, Count of Barcelona	
#9202a8c04000641f8000000000288dec	1135	Petronila of Aragon	Huesca
#9202a8c04000641f800000000464297f		Berthold IV, Duke of Merania	
#9202a8c04000641f800000000be7bca3		Agnes of Rochlitz	
#9202a8c04000641f8000000006bc82f6		Sofia of Minsk	
#9202a8c04000641f80000000001499fd	1131-01-14	Valdemar I of Denmark	
#9202a8c04000641f800000000471bfde	1141	Constance of Castile, Queen of France	
#9202a8c04000641f800000000008b82c	1081-12-01	Louis VI of France	Paris
#9202a8c04000641f8000000000304899	1092	Adélaide de Maurienne	
#9202a8c04000641f800000000013c26b	1145	Marie de Champagne	
#9202a8c04000641f800000000056cace	1160-10-04	Alys, Countess of the Vexin	France
#9202a8c04000641f8000000000603ccf	1171	Agnes of France	
#9202a8c04000641f800000000061ab6c	1151	Alix of France	
#9202a8c04000641f8000000000773008	1157-11	Margaret of France, Queen of England and Hungary	
#9202a8c04000641f80000000001fcca5	1090	Theobald II of Champagne	
#9202a8c04000641f8000000008022e2a		Matilda of Carinthia	
#9202a8c04000641f8000000000587286		Matilda II of Boulogne	
#9202a8c04000641f8000000000088a33	1165	Henry I, Duke of Brabant	
#9202a8c04000641f80000000080234b6		Alice of Namur	
#9202a8c04000641f8000000000318df9	1108	Baldwin IV, Count of Hainaut	
#9202a8c04000641f80000000009b9703	1112	Sibylla of Anjou	
#9202a8c04000641f80000000001fadf5	1099	Thierry, Count of Flanders	
#9202a8c04000641f800000000020fb6e	1238	Theobald II of Navarre	
#9202a8c04000641f800000000036d40d	1253	Ferdinand de la Cerda, Infante of Castile	
#9202a8c04000641f800000000b3e52fe	1275	Ferdinand de la Cerda	
#9202a8c04000641f80000000007d359d	1268	Mahaut, Countess of Artois	
#9202a8c04000641f80000000007d2364	1269	Philip of Artois	
#9202a8c04000641f80000000006e3d74	1190	Mafalda of Portugal	Kingdom of Portugal
#9202a8c04000641f8000000000d4d14c	1178-10-04	Teresa of Portugal	Coimbra
#9202a8c04000641f80000000006e01fd	1151	Urraca of Portugal	Coimbra
#9202a8c04000641f80000000000593e3	1137	Ferdinand II of Leon	
#9202a8c04000641f800000000f183560		Dulce of León	
#9202a8c04000641f800000000f1858c8		Sancha of León	
#9202a8c04000641f800000000f460c4d	1230	John of Brienne	
#9202a8c04000641f800000000074b0d2	1225	Alphonso of Brienne	
#9202a8c04000641f800000000007ff38	1153-08-17	William, Count of Poitiers	Normandy
#9202a8c04000641f8000000000082abe	1155-02-28	Henry the Young King	
#9202a8c04000641f8000000009f03c8e	1156	Matilda of England, Duchess of Saxony	Windsor Castle
#9202a8c04000641f80000000001450fb	1158-09-23	Geoffrey II, Duke of Brittany	
#9202a8c04000641f8000000000b7d115	1165-10	Joan of England, Queen of Sicily	Château d'Angers
#9202a8c04000641f8000000000082adb	1165	Berengaria of Navarre	
#9202a8c04000641f80000000045d1f5a	1180	Philip of Cognac	
#9202a8c04000641f80000000003e22f0	1125	Petronilla of Aquitaine	
#9202a8c04000641f8000000000862cfb	1103	Aenor de Châtellerault	Châtellerault
#9202a8c04000641f80000000002a4211	1099	William X, Duke of of Aquitaine	Toulouse
#9202a8c04000641f80000000000607dd	1102-02-07	Empress Matilda	Winchester
#9202a8c04000641f800000000008329d	1113-08-24	Geoffrey V Plantagenet, Count of Anjou	
#9202a8c04000641f80000000001ba133	1176	William Longespée, 3rd Earl of Salisbury	
#9202a8c04000641f80000000002ffcab	1152	Geoffrey, Archbishop of York	
#9202a8c04000641f8000000006b9fdef		Morgan	
#9202a8c04000641f8000000000005fda	1185-04-23	Afonso II of Portugal	Coimbra
#9202a8c04000641f8000000000194077	1207-09-08	Sancho II of Portugal	Coimbra
#9202a8c04000641f800000000075c1ee	1211	Leonor of Portugal, Queen of Denmark	Kingdom of Portugal
#9202a8c04000641f8000000000807a6b	1217	Infante Fernando, Lord of Serpa	Kingdom of Portugal
#9202a8c04000641f800000000c3f7b53		Marguerite de l'Aigle	
#9202a8c04000641f800000000068b7dd	1110	García VI of Navarre	
#9202a8c04000641f800000000567d2d3	1116	Berenguela of Barcelona	Barcelona
#9202a8c04000641f80000000055a37d2		Kuthen	
#9202a8c04000641f800000001003f3f0		Catherine of Hungary, Queen of Serbia	
#9202a8c04000641f8000000010074e12		Elizabeth of Hungary, Queen of Serbia	
#9202a8c04000641f800000000038e66d	1206-11-29	Béla IV of Hungary	
#9202a8c04000641f8000000006eb1cf1	1206	Maria Laskarina	
#9202a8c04000641f800000001378468f		Andrew, Duke of Slavonia	
#9202a8c04000641f8000000018eb9eaf	1273	Marie of Lusignan, Queen of Aragon	Cyprus
#9202a8c04000641f8000000019297cb3	1272	Elisenda of Montcada	
#9202a8c04000641f80000000137a7e18	1321	Constance of Aragon	
#9202a8c04000641f8000000007d863d7	1321	James I of Urgell	
#9202a8c04000641f80000000137a7e21		Ferdinand, Marquis of Tortosa	
#9202a8c04000641f80000000173597f6	1318	Constance of Aragon, Queen of Majorca	
#9202a8c04000641f80000000137a7ee7		Lope de Luna,  Lord of Segorbe	
#9202a8c04000641f8000000000452c8c	1289	Frederick I of Austria	Vienna
#9202a8c04000641f800000000c48d10d	1318	Anna of Austria	
#9202a8c04000641f80000000137a80b5		Agnes de Périgord	
#9202a8c04000641f800000000876df65	1345	Agnes of Durazzo	
#9202a8c04000641f80000000137a806d	1344	Joanna, Duchess of Durazzo	
#9202a8c04000641f8000000016f14687	1344	Joanna, Duchess of Durazzo	
#9202a8c04000641f80000000137a7fc0		Francis of Baux, Duke of Andria	
#9202a8c04000641f8000000000151a8a	1283	Edward Balliol	
#9202a8c04000641f800000000098e80e		James of Baux	
#9202a8c04000641f80000000087be4e7	1352	Elisabeth of Slavonia	
#9202a8c04000641f80000000002211f1		Oshin of Korikos	
#9202a8c04000641f8000000000223ae5	1282	Oshin of Armenia	
#9202a8c04000641f80000000002211cd	1321	Marie of Armenia	
#9202a8c04000641f800000000bec8bac	1282	Maria of Bytom	
#9202a8c04000641f800000000089b310	1327-10-30	Andrew, Duke of Calabria	
#9202a8c04000641f80000000087aadcf	1332-12-26	Stephen, Duke of Slavonia	
#9202a8c04000641f800000000b54bb3c		Katherine of Hungary	
#9202a8c04000641f8000000013a05811	1295	Catherine of Austria, Duchess of Calabria	Vienna
#9202a8c04000641f8000000000566252	1243	James II of Majorca	
#9202a8c04000641f8000000000112af3	1217	Baldwin II of Constantinople	
#9202a8c04000641f8000000020594739		Isabel de Mosquera	
#9202a8c04000641f8000000020594747		Teresa Suárez de Figueroa y Orozco	
#9202a8c04000641f800000000b8fa9f0	1286	Juana Núñez de Lara	Palencia
#9202a8c04000641f800000001e641c1c	1265	Otto III of Carinthia	
#9202a8c04000641f800000001536e1a2		Fernando Rodriguez de Castro	
#9202a8c04000641f80000000201b8cd3		Silvia Ruffini	
#9202a8c04000641f800000000af1e123	1509	Ranuccio Farnese	
#9202a8c04000641f8000000020567d79		Leonor de Menezes	
#9202a8c04000641f8000000009617d5f	1694	Princess Maria Theresia of Liechtenstein	
#9202a8c04000641f800000001e645b87	1610	Catherine Ursula of Hohenzollern-Hechingen	
#9202a8c04000641f800000001ee9e1ab	1571	Maria of Eicken	Brussels
#9202a8c04000641f800000001e62c5a5		William Christopher of Baden-Baden	Baden-Baden
#9202a8c04000641f800000001534674e	1630	François, Prince of Soubise	
#9202a8c04000641f800000001dc0860d		Johan II of East Frisia	Aurich
#9202a8c04000641f800000001efd6b3e		Rixa of Werle	
#9202a8c04000641f8000000000903780	1268	Albert the Fat, Duke of Brunswick-Lüneburg	
#9202a8c04000641f800000001e51b07c	1350	Bogislaw VI, Duke of Pomerania	
#9202a8c04000641f800000000060d1fa	1317	Euphemia of Sweden	
#9202a8c04000641f800000000060d8a4	1318	Albert II of Mecklenburg	
#9202a8c04000641f8000000013784004		Margaret of Gelders	
#9202a8c04000641f8000000005bde542	1459-07-11	Kaspar, Count Palatine of Zweibrücken	
#9202a8c04000641f80000000002f256b	1217	John I, Duke of Brittany	
#9202a8c04000641f800000000561f914	1226	Blanche of Navarre	
#9202a8c04000641f800000000b3d6226	1271	Blanche of Brittany	
#9202a8c04000641f8000000013aaf8c1	1269	Pierre, Viscount de Leon	
#9202a8c04000641f8000000013aaf8c8	1274	Eleonore, Abbess of Fontevrault	
#9202a8c04000641f8000000000c86c51	1266	John of Brittany, Earl of Richmond	
#9202a8c04000641f800000001d1f26f9	1310	Joan of Savoy	
#9202a8c04000641f8000000000005d4b	1198-08-24	Alexander II of Scotland	Haddington
#9202a8c04000641f8000000000b94157	1218	Marie de Coucy	
#9202a8c04000641f8000000000ed2513	1261-02-28	Margaret of Scotland, Queen of Norway	
#9202a8c04000641f8000000005c45f49	1264-01-21	Alexander, Prince of Scotland	
#9202a8c04000641f8000000000d2b334	1241	Robert IV of Dreux	
#9202a8c04000641f8000000000d2c2ee	1265	John II of Dreux	
#9202a8c04000641f800000000027e65c	1222	Aymer de Valence	
#9202a8c04000641f8000000000b72ffb	1173	Isabel of Gloucester	
#9202a8c04000641f8000000000555074	1332	Isabella of England	Gloucester
#9202a8c04000641f80000000045cb037	1210-07-22	Joan of England, Queen Consort of Scotland	
#9202a8c04000641f8000000000317496	1215	Eleanor of Leicester	Gloucester
#9202a8c04000641f8000000000994b11	1188	Joan, Lady of Wales	
#9202a8c04000641f8000000008bed231	1160	Aymer of Angoulême	
#9202a8c04000641f8000000014f402bc	1160	Alice of Courtenay	
#9202a8c04000641f800000001c550824	1234	Isabella of Lusignan	
#9202a8c04000641f8000000015a31b8c		Beatrice of Bar	
#9202a8c04000641f800000000011c794	1177	Philip of Swabia	
#9202a8c04000641f8000000000b74e36	1181	Irene Angelina	Constantinople
#9202a8c04000641f8000000018eb690d	1254-12-06	Beatrice of Castile, Marchioness of Montferrat	
#9202a8c04000641f800000001e395d39	1260-07-25	John of Castile, Lord of Valencia de Campos	Seville
#9202a8c04000641f800000000055abc4	1179	William IV of Ponthieu	
#9202a8c04000641f800000001cf44df9		Alberic II of Dammartin	
#9202a8c04000641f80000000007b8ae1	1243-07	Robert Bruce, jure uxoris Earl of Carrick	Writtle
#9202a8c04000641f800000000056af3b	1256	Marjorie, Countess of Carrick	
#9202a8c04000641f800000000051911a	1259	Richard Og de Burgh, 2nd Earl of Ulster	
#9202a8c04000641f800000000024895f	1281	Rudolph I of Bohemia	
#9202a8c04000641f800000000b5d3ced		Teresa Gil de Vidaure	
#9202a8c04000641f8000000000b96fb7	1182	Marie of Montpellier	
#9202a8c04000641f800000000b5d3fef	1251	Elionor of Aragon	
#9202a8c04000641f800000000b5d3fd4	1248	Maria of Aragon	
#9202a8c04000641f800000000b5d3fe3	1236	Constance of Aragon	
#9202a8c04000641f800000000b5d3fdb	1245	Ferdinand of Aragon	
#9202a8c04000641f800000000b8e5f31	1239	Constance of Aragon	
#9202a8c04000641f800000000000636d	1175	Andrew II of Hungary	
#9202a8c04000641f8000000007d4b1b5	1200	Yolanda de Courtenay	
#9202a8c04000641f800000000b5d3fe9		Sancho, Archibishop of Toledo	
#9202a8c04000641f800000000b5d3ff5		Sancha of Aragon	
#9202a8c04000641f80000000045cb529	1248	Otto IV, Count of Burgundy	
#9202a8c04000641f800000000472ad5d	1309	Guigues VIII, Dauphin of Vienne	
#9202a8c04000641f8000000020655d56		John III, Lord of Faucogney	
#9202a8c04000641f8000000000300b01	1238	Frederick III, Duke of Lorraine	
#9202a8c04000641f8000000000300b0d	1263	Theobald II, Duke of Lorraine	
#9202a8c04000641f800000000c3fb7da	1200	Agnes of Beaujeu	
#9202a8c04000641f80000000090a7be9	1205	Gertrude of Dagsburg	
#9202a8c04000641f8000000000691b36	1170	Blanca of Navarre	
#9202a8c04000641f8000000000208516	1179-05-13	Theobald III of Champagne	Troyes
#9202a8c04000641f800000000b517bd4	1242	Beatrice of Navarre	
#9202a8c04000641f80000000005d1b64		Archambaud VIII of Bourbon	
#9202a8c04000641f800000000907d022	1158	Theobald I of Bar	
#9202a8c04000641f8000000000d2a5b1	1154	Robert II of Dreux	
#9202a8c04000641f80000000046cb8b3	1285	Baldwin, Archbishop of Trier	
#9202a8c04000641f8000000000cc0edf	1140	Henry III of Limburg	
#9202a8c04000641f8000000000cc756a	1112	Henry IV of Luxembourg	
#9202a8c04000641f800000000015e7df	1316	Magnus IV of Sweden	Norway
#9202a8c04000641f800000000036b44d	1320	Blanka of Namur	Namur
#9202a8c04000641f800000000074bbc7	1305	Charles d'Évreux	Paris
#9202a8c04000641f80000000006d7520	1344	Robert of Alençon	
#9202a8c04000641f80000000006d754c	1337	Charles III of Alençon	
#9202a8c04000641f800000000074bc2a	1336	Louis II d'Évreux	
#9202a8c04000641f800000002067f5e5		Robert, Lord of Baux	
#9202a8c04000641f80000000055aaac6	1320	Otto, Duke of Brunswick-Grubenhagen	
#9202a8c04000641f800000000063be03	1336-08-24	James IV of Majorca	
#9202a8c04000641f80000000007933aa	1264	Infanta Sancha of Portugal	Kingdom of Portugal
#9202a8c04000641f8000000000793372	1264	Infanta Maria of Portugal	Coimbra
#9202a8c04000641f80000000007932f8	1259-02-25	Infanta Branca of Portugal	Guimarães
#9202a8c04000641f8000000000793346	1263-02-08	Infante Afonso, Lord of Portalegre	Lisbon
#9202a8c04000641f800000000a6a5860	1205	Mayor Guillen de Guzmán	
#9202a8c04000641f80000000137a8277		Anne of Burgundy	
#9202a8c04000641f80000000007d3500	1328	Charles of Artois, Count of Pézenas	
#9202a8c04000641f80000000002e0561	1129	Hamelin de Warenne, 5th Earl of Surrey	
#9202a8c04000641f8000000005c3339b		Isabel de Warenne, 4th Countess of Surrey	
#9202a8c04000641f800000000006379f	1249	John Balliol, King of Scotland	
#9202a8c04000641f80000000004cd04e	1200	John Fitzalan, Lord of Oswestry	
#9202a8c04000641f800000000faeee1e		Isabel d'Aubigny	
#9202a8c04000641f800000000faee95b		Maria di Torres of Sassari	
#9202a8c04000641f800000000faee961		Boniface of Saluzzo	
#9202a8c04000641f800000000007fff7	1244-12-01	Boniface of Savoy	
#9202a8c04000641f8000000000749be9		Duke of Lothier	
#9202a8c04000641f800000000a3d7190	1226	Marie of Brabant	
#9202a8c04000641f80000000163f4202	1224-03-20	Sophie of Thuringia, Duchess of Brabant	Eisenach
#9202a8c04000641f8000000000355a5f	1244-06-24	Henry I, Landgrave of Hesse	
#9202a8c04000641f80000000007b9f1f	1252	Henry IV, Duke of Brabant	
#9202a8c04000641f800000000c3ffe3d	1187	Ela, Countess of Salisbury	Amesbury
#9202a8c04000641f80000000004b8dd2	1147	Hugh de Kevelioc, 3rd Earl of Chester	
#9202a8c04000641f800000002066a4ca		Mary de Lusignan	
#9202a8c04000641f80000000004ce142	1193	William de Ferrers, 5th Earl of Derby	
#9202a8c04000641f8000000009d7963b		John de Ferrers, 1st Baron Ferrers of Chartley	
#9202a8c04000641f8000000000f2d0d5	1665	George Nevill, 12th Baron Bergavenny	
#9202a8c04000641f800000000020eeb5	1192	Maria of Montferrat	
#9202a8c04000641f8000000016f06cf5		Stephanie of Armenia	Armenia
#9202a8c04000641f800000000906a756		Erard II of Brienne	
#9202a8c04000641f800000000f462351		Agnes de Montfaucon	
#9202a8c04000641f8000000000196f23	1212	Isabella II of Jerusalem	Acre
#9202a8c04000641f8000000020688fe9		Sarah Fitzhugh	
#9202a8c04000641f8000000000eba7c1		Richard Comyn	
#9202a8c04000641f8000000000d5ae6d		Walter Comyn, Lord of Badenoch, jure uxoris Earl of Menteith	
#9202a8c04000641f800000001ddbb6e1	1304	Irmengard of Oettingen	
#9202a8c04000641f800000000deac954		Mechtild of Nassau	
#9202a8c04000641f800000001d04af7c	1471	William III, Landgrave of Hesse	
